ID do pacote,N.º Rota,Parada,Ponto,Data de Inbound,Altura,Largura,Comprimento,Localização do pacote,Detalhe do pacote
46469874588,Y4_AM100,4,A,,20,19,52,Caminho para a estação,
46496448607,Y4_AM100,5,A,,29,24,30,Caminho para a estação,
46501803205,Y4_AM100,6,A,,16,6,17,Caminho para a estação,
46503885049,Y4_AM100,6,A,,16,5,17,Caminho para a estação,
46504037005,Y4_AM100,6,A,,12,5,19,Caminho para a estação,
46504470675,Y4_AM100,6,A,,23,12,26,Caminho para a estação,
46509227555,Y4_AM100,14,A,,26,6,31,Caminho para a estação,
46497668100,Y4_AM100,15,A,,7,3,12,Caminho para a estação,
46506436657,Y4_AM100,16,A,,59,11,17,Caminho para a estação,
46503921345,Y4_AM100,17,A,,76,14,31,Caminho para a estação,
46502040262,Y4_AM100,24,A,,13,10,20,Caminho para a estação,
46507907295,Y4_AM100,26,A,,11,6,27,Caminho para a estação,
46482410687,Y4_AM100,27,A,,11,9,18,Caminho para a estação,
46506174320,Y4_AM100,28,A,,16,10,24,Caminho para a estação,
46508060699,Y4_AM100,28,A,,10,5,14,Caminho para a estação,
46509936975,Y4_AM100,28,A,,15,6,17,Caminho para a estação,
46511372055,Y4_AM100,28,A,,14,5,20,Caminho para a estação,
46505525971,Y4_AM100,32,A,,12,4,20,Caminho para a estação,
46485211673,Y4_AM100,34,A,,26,21,29,Caminho para a estação,
46501499054,Y4_AM100,34,A,,13,42,22,Caminho para a estação,
46507138246,Y4_AM100,36,A,,13,3,22,Caminho para a estação,
46509938804,Y4_AM100,36,A,,13,3,19,Caminho para a estação,
46511623109,Y4_AM100,36,A,,7,3,18,Caminho para a estação,
46489678203,Y4_AM100,37,A,,17,5,15,Caminho para a estação,
46509784898,Y4_AM100,39,A,,12,5,18,Caminho para a estação,
46501710397,Y4_AM100,40,A,,31,8,39,Caminho para a estação,
46512483092,Y4_AM100,41,A,,12,7,17,Caminho para a estação,
46501208863,Y4_AM100,42,A,,27,5,31,Caminho para a estação,
46501748649,Y4_AM100,42,A,,27,5,30,Caminho para a estação,
46507872949,Y4_AM100,42,A,,23,7,30,Caminho para a estação,
46508313980,Y4_AM100,42,A,,29,7,31,Caminho para a estação,
46454491634,Y4_AM100,44,A,,14,5,14,Caminho para a estação,
46506518650,Y4_AM100,46,A,,31,3,14,Caminho para a estação,
46504743030,Y4_AM100,47,A,,25,14,30,Caminho para a estação,
46503524321,Y4_AM100,50,A,,18,10,78,Caminho para a estação,
46507966603,Y4_AM100,54,A,,15,7,21,Caminho para a estação,
46388437977,Y4_AM100,56,A,,22,9,15,Caminho para a estação,
46487107952,Y4_AM100,57,A,,66,66,82,Caminho para a estação,
46508685732,Y4_AM100,61,A,,16,11,23,Caminho para a estação,
46491363138,Y4_AM100,63,A,,24,7,59,Caminho para a estação,
46503166460,Y4_AM100,63,A,,33,8,52,Caminho para a estação,
46507899436,Y4_AM100,63,A,,15,9,15,Caminho para a estação,
46501685755,Y4_AM100,65,A,,22,10,32,Caminho para a estação,
46501705265,Y4_AM100,65,A,,12,11,31,Caminho para a estação,
46503128253,Y4_AM100,65,A,,27,3,35,Caminho para a estação,
46507836439,Y4_AM100,65,A,,10,5,30,Caminho para a estação,
46508161214,Y4_AM100,65,A,,10,5,30,Caminho para a estação,
46508449974,Y4_AM100,65,A,,33,7,39,Caminho para a estação,
46502746830,Y4_AM100,68,A,,20,6,38,Caminho para a estação,
46506866823,Y4_AM100,70,A,,22,4,32,Caminho para a estação,
46499186131,Y4_AM100,73,A,,22,5,27,Caminho para a estação,
46508128353,Y4_AM100,75,A,,14,4,22,Caminho para a estação,
46493747847,Y4_AM100,76,A,,24,19,25,Caminho para a estação,
46510087700,Y4_AM100,78,A,,28,25,70,Caminho para a estação,
46510663117,Y4_AM100,78,A,,18,11,36,Caminho para a estação,
46508212504,Y4_AM100,80,A,,15,6,21,Caminho para a estação,
46512388152,Y4_AM100,82,A,,23,13,27,Caminho para a estação,
46502832779,Y4_AM100,84,A,,14,3,18,Caminho para a estação,
46506276841,Y4_AM100,85,A,,17,11,21,Caminho para a estação,
46503795857,Y4_AM100,86,A,,27,16,31,Caminho para a estação,
46508936142,Y4_AM100,86,A,,27,16,31,Caminho para a estação,
46502002690,Y4_AM100,87,A,,16,3,30,Caminho para a estação,
46501333477,Y4_AM100,89,A,,35,17,45,Caminho para a estação,
46501534480,Y4_AM100,89,A,,27,7,39,Caminho para a estação,
46501674444,Y4_AM100,89,A,,28,7,43,Caminho para a estação,
46502478136,Y4_AM100,89,A,,28,15,39,Caminho para a estação,
46502769164,Y4_AM100,89,A,,30,3,38,Caminho para a estação,
46503898562,Y4_AM100,89,A,,37,6,45,Caminho para a estação,
46504389199,Y4_AM100,89,A,,39,11,58,Caminho para a estação,
46507602150,Y4_AM100,89,A,,27,8,36,Caminho para a estação,
46507898707,Y4_AM100,89,A,,31,9,40,Caminho para a estação,
46507932607,Y4_AM100,89,A,,35,15,45,Caminho para a estação,
46507959463,Y4_AM100,89,A,,29,9,40,Caminho para a estação,
